split_col	model	train_n	valid_n	test_n	train_pos_rate	valid_pos_rate	test_pos_rate	valid_threshold_mcc	auprc	auroc	mcc	macro_f1	balanced_accuracy	brier	ece	precision_at_50	auprc_ci_low	auprc_ci_high
S5_motif_family_split	class_prior	2677	574	573	0.691072095629436	0.6689895470383276	0.7190226876090751	0.691072095629436	0.7190226876090751	0.5	0.0	0.4182741116751269	0.5	0.20281029790450975	0.027950591979639006	0.6	0.6841186736474695	0.7526614310645725
S5_motif_family_split	source_assay_only	2677	574	573	0.691072095629436	0.6689895470383276	0.7190226876090751	0.4135443153517636	0.762328449807349	0.5564885726346258	0.09546038483583588	0.49118513384735335	0.5247391907375023	0.24963357687695004	0.21950796142542084	0.86	0.7244881025183472	0.8029522423179939
S5_motif_family_split	topology_only	2677	574	573	0.691072095629436	0.6689895470383276	0.7190226876090751	0.6187646564724355	0.8751498884353555	0.7184390641017909	0.34367845200297215	0.607404054527473	0.6882801664355063	0.1969070797327776	0.14330206963253603	0.96	0.8364174750218871	0.9048571039929512
S5_motif_family_split	motif_only	2677	574	573	0.691072095629436	0.6689895470383276	0.7190226876090751	0.6014675641968006	0.835590136837855	0.6606615208345896	0.18670180784401688	0.4983879577239244	0.5968310920822529	0.23574032393431052	0.1971382956958328	0.96	0.7959203576159279	0.8597869163420291
S5_motif_family_split	sequence_logistic	2677	574	573	0.691072095629436	0.6689895470383276	0.7190226876090751	0.5342784603456894	0.8103602612936889	0.6652143761683652	0.252404267549516	0.6109306350685662	0.6389073147198938	0.26618896986125495	0.22639548762881784	0.8	0.7681955449144806	0.8543012626783915
S5_motif_family_split	sequence_random_forest	2677	574	573	0.691072095629436	0.6689895470383276	0.7190226876090751	0.4192301567135953	0.9151219708852345	0.8200566845564735	0.4596042298342748	0.6754148749094886	0.6542091298317554	0.14644511815796019	0.07822106484049521	0.98	0.8905400231477268	0.9385827575893443
S5_motif_family_split	ptm_delta_only	2677	574	573	0.691072095629436	0.6689895470383276	0.7190226876090751	0.6351982153332646	0.7615826831159191	0.580345836097208	0.07584591460469464	0.3943344373194278	0.5340107338840983	0.25573121825387685	0.2288115453495187	0.74	0.7201508465109285	0.8153839132718254
S5_motif_family_split	counterfactual_no_ptmchem_logistic	2677	574	573	0.691072095629436	0.6689895470383276	0.7190226876090751	0.5031412667529432	0.832333310299843	0.6868178254839293	0.29243217624404266	0.6366989364603217	0.6588599770849666	0.2618704887931487	0.23443420358320666	0.86	0.7860256000766375	0.8663455933748657
S5_motif_family_split	counterfactual_logistic	2677	574	573	0.691072095629436	0.6689895470383276	0.7190226876090751	0.506980343503131	0.8321981334248147	0.686425857806187	0.28997235833867047	0.635209527019436	0.6576463848519568	0.2624111380635824	0.23705479164906118	0.86	0.790589624967173	0.8710250283393586
S5_motif_family_split	counterfactual_mlp	2677	574	573	0.691072095629436	0.6689895470383276	0.7190226876090751	0.10382870912551881	0.8597392396690576	0.7293915455587047	0.3321813702232637	0.6577348902947907	0.6460381113188205	0.2240816602379575	0.19701027908536362	0.9	0.8277086392098062	0.8917612643111694
S6_kinase_proxy_split	class_prior	2620	568	636	0.6980916030534351	0.6919014084507042	0.6666666666666666	0.6980916030534351	0.6666666666666666	0.5	0.0	0.4	0.5	0.22320974884913464	0.03142493638676869	0.68	0.6347877358490566	0.7048349056603773
S6_kinase_proxy_split	source_assay_only	2620	568	636	0.6980916030534351	0.6919014084507042	0.6666666666666666	0.0015343116989873667	0.7094441785658716	0.5274563901744392	0.06900655593423542	0.41872813049457724	0.5070754716981132	0.26385050111991726	0.1946208186425552	0.94	0.6724632191426376	0.7440798859989531
S6_kinase_proxy_split	topology_only	2620	568	636	0.6980916030534351	0.6919014084507042	0.6666666666666666	0.6165706066985511	0.7476989786953878	0.5881652723389106	0.12351311616530798	0.48691400063351287	0.5601415094339622	0.24584743035823295	0.14093535067177396	0.88	0.7071516743190386	0.7842616889540079
S6_kinase_proxy_split	motif_only	2620	568	636	0.6980916030534351	0.6919014084507042	0.6666666666666666	0.2785879682392684	0.699230632970552	0.532746306514774	0.06226220585942176	0.5153424100792522	0.5330188679245282	0.3547920377039108	0.31796117339567986	0.76	0.6401858241164241	0.7455323346857246
S6_kinase_proxy_split	sequence_logistic	2620	568	636	0.6980916030534351	0.6919014084507042	0.6666666666666666	0.7894798693370283	0.7035105752601007	0.5649252402990388	0.04400719192359078	0.47289383904781457	0.5224056603773585	0.3239305973940664	0.29077431142998145	0.62	0.6545329684979317	0.7496236977617079
S6_kinase_proxy_split	sequence_random_forest	2620	568	636	0.6980916030534351	0.6919014084507042	0.6666666666666666	0.4082817806061815	0.8337319613496965	0.7170701317194731	0.3801119684133149	0.6263915753277456	0.6261792452830188	0.18581578043534858	0.0753881309198206	0.92	0.8002113544634388	0.8635823735441949
S6_kinase_proxy_split	ptm_delta_only	2620	568	636	0.6980916030534351	0.6919014084507042	0.6666666666666666	0.49352325592396423	0.6776035194448191	0.5432148896404414	0.0823736084286954	0.5397689214090683	0.5424528301886793	0.24858231009637918	0.17690198813434665	0.68	0.6275136511144854	0.7324537426388182
S6_kinase_proxy_split	counterfactual_no_ptmchem_logistic	2620	568	636	0.6980916030534351	0.6919014084507042	0.6666666666666666	0.9234812486237712	0.7018453884175315	0.549127803488786	0.05636950424124166	0.43648454921949664	0.5259433962264151	0.3432928923149015	0.30675549933047186	0.66	0.6565080227297877	0.7648587537462102
S6_kinase_proxy_split	counterfactual_logistic	2620	568	636	0.6980916030534351	0.6919014084507042	0.6666666666666666	0.9267840557556175	0.7009850803379354	0.5493280526877893	0.04838538828568408	0.4353274723634962	0.5224056603773586	0.34150940268698926	0.30541832087757725	0.68	0.6577365348174559	0.7597621250332705
S6_kinase_proxy_split	counterfactual_mlp	2620	568	636	0.6980916030534351	0.6919014084507042	0.6666666666666666	0.9936954534053802	0.7803482284682397	0.6320865966536133	0.1532642583445535	0.49777085752054007	0.5742924528301887	0.3018831670774985	0.27697538608485983	0.9	0.7339891699862983	0.8140644609680792
S7_temporal_prospective_split	class_prior	2795	594	435	0.7059033989266548	0.6767676767676768	0.6229885057471264	0.7059033989266548	0.6229885057471264	0.5	0.0	0.3838526912181303	0.5	0.24174870696506168	0.08291489317952827	0.44	0.5717816091954023	0.665
S7_temporal_prospective_split	source_assay_only	2795	594	435	0.7059033989266548	0.6767676767676768	0.6229885057471264	0.24268265551872897	0.6183630730545919	0.5047137971379714	-0.014228651944356328	0.41759773255768434	0.4967149671496715	0.27753926524240313	0.17176868202299078	0.64	0.5761845618039515	0.6785809060461897
S7_temporal_prospective_split	topology_only	2795	594	435	0.7059033989266548	0.6767676767676768	0.6229885057471264	0.765694742515257	0.7848226187768719	0.6669404194041938	0.31531138489127253	0.5628704544599628	0.6405364053640537	0.2198809961631848	0.1031149465627793	0.9	0.7350547774609412	0.8292829381472335
S7_temporal_prospective_split	motif_only	2795	594	435	0.7059033989266548	0.6767676767676768	0.6229885057471264	0.3188187261362098	0.7398849440425552	0.5901134011340112	0.10165696980114998	0.5418571663389362	0.545990459904599	0.264869801780883	0.1757046429321618	0.98	0.6844045566885025	0.7903992920586934
S7_temporal_prospective_split	sequence_logistic	2795	594	435	0.7059033989266548	0.6767676767676768	0.6229885057471264	0.9586610034635971	0.7894352951270022	0.7041445414454144	0.23133258004761337	0.4988287712745917	0.5950522005220052	0.2526821843711367	0.1932169961352179	0.88	0.7343574058698003	0.841020948593646
